,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,ORCL_BALANCE_SHEET_reportedCurrency,ORCL_BALANCE_SHEET_totalAssets,ORCL_BALANCE_SHEET_totalCurrentAssets,ORCL_BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,ORCL_BALANCE_SHEET_cashAndShortTermInvestments,ORCL_BALANCE_SHEET_inventory,ORCL_BALANCE_SHEET_currentNetReceivables,ORCL_BALANCE_SHEET_totalNonCurrentAssets,ORCL_BALANCE_SHEET_propertyPlantEquipment,ORCL_BALANCE_SHEET_accumulatedDepreciationAmortizationPPE,ORCL_BALANCE_SHEET_intangibleAssets,ORCL_BALANCE_SHEET_intangibleAssetsExcludingGoodwill,ORCL_BALANCE_SHEET_goodwill,ORCL_BALANCE_SHEET_investments,ORCL_BALANCE_SHEET_longTermInvestments,ORCL_BALANCE_SHEET_shortTermInvestments,ORCL_BALANCE_SHEET_otherCurrentAssets,ORCL_BALANCE_SHEET_otherNonCurrentAssets,ORCL_BALANCE_SHEET_totalLiabilities,ORCL_BALANCE_SHEET_totalCurrentLiabilities,ORCL_BALANCE_SHEET_currentAccountsPayable,ORCL_BALANCE_SHEET_deferredRevenue,ORCL_BALANCE_SHEET_currentDebt,ORCL_BALANCE_SHEET_shortTermDebt,ORCL_BALANCE_SHEET_totalNonCurrentLiabilities,ORCL_BALANCE_SHEET_capitalLeaseObligations,ORCL_BALANCE_SHEET_longTermDebt,ORCL_BALANCE_SHEET_currentLongTermDebt,ORCL_BALANCE_SHEET_longTermDebtNoncurrent,ORCL_BALANCE_SHEET_shortLongTermDebtTotal,ORCL_BALANCE_SHEET_otherCurrentLiabilities,ORCL_BALANCE_SHEET_otherNonCurrentLiabilities,ORCL_BALANCE_SHEET_totalShareholderEquity,ORCL_BALANCE_SHEET_treasuryStock,ORCL_BALANCE_SHEET_retainedEarnings,ORCL_BALANCE_SHEET_commonStock,ORCL_BALANCE_SHEET_commonStockSharesOutstanding,ORCL_CASH_FLOW_reportedCurrency,ORCL_CASH_FLOW_operatingCashflow,ORCL_CASH_FLOW_paymentsForOperatingActivities,ORCL_CASH_FLOW_proceedsFromOperatingActivities,ORCL_CASH_FLOW_changeInOperatingLiabilities,ORCL_CASH_FLOW_changeInOperatingAssets,ORCL_CASH_FLOW_depreciationDepletionAndAmortization,ORCL_CASH_FLOW_capitalExpenditures,ORCL_CASH_FLOW_changeInReceivables,ORCL_CASH_FLOW_changeInInventory,ORCL_CASH_FLOW_profitLoss,ORCL_CASH_FLOW_cashflowFromInvestment,ORCL_CASH_FLOW_cashflowFromFinancing,ORCL_CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,ORCL_CASH_FLOW_paymentsForRepurchaseOfCommonStock,ORCL_CASH_FLOW_paymentsForRepurchaseOfEquity,ORCL_CASH_FLOW_paymentsForRepurchaseOfPreferredStock,ORCL_CASH_FLOW_dividendPayout,ORCL_CASH_FLOW_dividendPayoutCommonStock,ORCL_CASH_FLOW_dividendPayoutPreferredStock,ORCL_CASH_FLOW_proceedsFromIssuanceOfCommonStock,ORCL_CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,ORCL_CASH_FLOW_proceedsFromIssuanceOfPreferredStock,ORCL_CASH_FLOW_proceedsFromRepurchaseOfEquity,ORCL_CASH_FLOW_proceedsFromSaleOfTreasuryStock,ORCL_CASH_FLOW_changeInCashAndCashEquivalents,ORCL_CASH_FLOW_changeInExchangeRate,ORCL_CASH_FLOW_netIncome,ORCL_INCOME_STATEMENT_reportedCurrency,ORCL_INCOME_STATEMENT_grossProfit,ORCL_INCOME_STATEMENT_totalRevenue,ORCL_INCOME_STATEMENT_costOfRevenue,ORCL_INCOME_STATEMENT_costofGoodsAndServicesSold,ORCL_INCOME_STATEMENT_operatingIncome,ORCL_INCOME_STATEMENT_sellingGeneralAndAdministrative,ORCL_INCOME_STATEMENT_researchAndDevelopment,ORCL_INCOME_STATEMENT_operatingExpenses,ORCL_INCOME_STATEMENT_investmentIncomeNet,ORCL_INCOME_STATEMENT_netInterestIncome,ORCL_INCOME_STATEMENT_interestIncome,ORCL_INCOME_STATEMENT_interestExpense,ORCL_INCOME_STATEMENT_nonInterestIncome,ORCL_INCOME_STATEMENT_otherNonOperatingIncome,ORCL_INCOME_STATEMENT_depreciation,ORCL_INCOME_STATEMENT_depreciationAndAmortization,ORCL_INCOME_STATEMENT_incomeBeforeTax,ORCL_INCOME_STATEMENT_incomeTaxExpense,ORCL_INCOME_STATEMENT_interestAndDebtExpense,ORCL_INCOME_STATEMENT_netIncomeFromContinuingOperations,ORCL_INCOME_STATEMENT_comprehensiveIncomeNetOfTax,ORCL_INCOME_STATEMENT_ebit,ORCL_INCOME_STATEMENT_ebitda,ORCL_INCOME_STATEMENT_netIncome,ORCL_EARNINGS_reportedDate,ORCL_EARNINGS_reportedEPS,ORCL_EARNINGS_estimatedEPS,ORCL_EARNINGS_surprise,ORCL_EARNINGS_surprisePercentage,ORCL_EARNINGS_reportTime,ORCL_SHARES_OUTSTANDING_shares_outstanding_diluted,ORCL_SHARES_OUTSTANDING_shares_outstanding_basic
2009-03-31,15.2100,18.6800,13.8000,18.0700,14.4890,1088963400,0.0000,USD,44949000000,15611000000,8211000000,8211000000,None,3025000000,29338000000,1914000000,None,7704000000,7704000000,18642000000,None,None,3083000000,1292000000,None,21872000000,7972000000,272000000,None,None,1002000000,13900000000,None,10236000000,None,None,11238000000,944000000,None,23077000000,None,10468000000,12758000000,5056000000,USD,2257000000,None,None,None,None,501000000,92000000,None,None,None,42000000,-1293000000,None,None,None,None,None,None,None,None,None,None,-1360000000,None,None,None,1329000000,USD,4342000000,5453000000,1111000000,1111000000,1940000000,192000000,677000000,2402000000,None,None,None,154000000,None,None,None,501000000,1810000000,481000000,None,0,None,1964000000,2465000000,1329000000,2009-03-18,0.35,0.32,0.03,9.375,post-market,5056000000,5005000000
2009-04-30,17.8600,20.2800,17.7300,19.3400,15.5479,780031500,0.0500,USD,44949000000,15611000000,8211000000,8211000000,None,3025000000,29338000000,1914000000,None,7704000000,7704000000,18642000000,None,None,3083000000,1292000000,None,21872000000,7972000000,272000000,None,None,1002000000,13900000000,None,10236000000,None,None,11238000000,944000000,None,23077000000,None,10468000000,12758000000,5056000000,USD,2257000000,None,None,None,None,501000000,92000000,None,None,None,42000000,-1293000000,None,None,None,None,None,None,None,None,None,None,-1360000000,None,None,None,1329000000,USD,4342000000,5453000000,1111000000,1111000000,1940000000,192000000,677000000,2402000000,None,None,None,154000000,None,None,None,501000000,1810000000,481000000,None,0,None,1964000000,2465000000,1329000000,2009-03-18,0.35,0.32,0.03,9.375,post-market,5056000000,5005000000
2009-05-29,19.3500,19.6000,17.9700,19.5900,15.7489,605091300,0.0000,USD,44949000000,15611000000,8211000000,8211000000,None,3025000000,29338000000,1914000000,None,7704000000,7704000000,18642000000,None,None,3083000000,1292000000,None,21872000000,7972000000,272000000,None,None,1002000000,13900000000,None,10236000000,None,None,11238000000,944000000,None,23077000000,None,10468000000,12758000000,5056000000,USD,2257000000,None,None,None,None,501000000,92000000,None,None,None,42000000,-1293000000,None,None,None,None,None,None,None,None,None,None,-1360000000,None,None,None,1329000000,USD,4342000000,5453000000,1111000000,1111000000,1940000000,192000000,677000000,2402000000,None,None,None,154000000,None,None,None,501000000,1810000000,481000000,None,0,None,1964000000,2465000000,1329000000,2009-03-18,0.35,0.32,0.03,9.375,post-market,5056000000,5005000000
2009-06-30,19.7500,21.7500,19.4700,21.4200,17.2201,813013300,0.0000,USD,47416000000,18581000000,8995000000,8995000000,None,4430000000,28835000000,1922000000,None,7269000000,7269000000,18842000000,None,None,3629000000,1527000000,None,22326000000,9149000000,271000000,None,None,1001000000,13177000000,None,9237000000,None,None,10238000000,862000000,None,25090000000,None,11894000000,12980000000,5009000000,USD,2008000000,None,None,None,None,502000000,38000000,None,7917000000,None,-434000000,-1201000000,None,None,None,None,250000000,250000000,None,None,None,None,-268000000,None,None,None,1891000000,USD,5682000000,6861000000,1179000000,1179000000,2885000000,213000000,730000000,2797000000,None,None,None,160000000,None,None,None,502000000,2755000000,864000000,None,0,None,2884000000,3386000000,1891000000,2009-06-23,0.46,0.44,0.02,4.5455,post-market,5043000000,4995000000
2009-07-31,21.6300,22.4800,19.7900,22.1300,17.8338,637704900,0.0500,USD,47416000000,18581000000,8995000000,8995000000,None,4430000000,28835000000,1922000000,None,7269000000,7269000000,18842000000,None,None,3629000000,1527000000,None,22326000000,9149000000,271000000,None,None,1001000000,13177000000,None,9237000000,None,None,10238000000,862000000,None,25090000000,None,11894000000,12980000000,5009000000,USD,2008000000,None,None,None,None,502000000,38000000,None,7917000000,None,-434000000,-1201000000,None,None,None,None,250000000,250000000,None,None,None,None,-268000000,None,None,None,1891000000,USD,5682000000,6861000000,1179000000,1179000000,2885000000,213000000,730000000,2797000000,None,None,None,160000000,None,None,None,502000000,2755000000,864000000,None,0,None,2884000000,3386000000,1891000000,2009-06-23,0.46,0.44,0.02,4.5455,post-market,5043000000,4995000000
2009-08-31,22.3199,22.6101,21.0300,21.8800,17.6323,522789200,0.0000,USD,52998000000,24445000000,16098000000,16098000000,0,2584000000,28553000000,1924000000,None,6886000000,6886000000,18867000000,None,None,4467000000,1296000000,None,26511000000,9160000000,260000000,None,None,1001000000,17351000000,None,13723000000,None,None,17209000000,131000000,3163000000,26143000000,0,12563000000,13319000000,5063000000,USD,3738000000,None,None,None,None,492000000,55000000,1870000000,242000000,None,-947000000,4209000000,None,None,None,None,251000000,251000000,None,None,None,None,-244000000,None,7103000000,103000000,1124000000,USD,4046000000,5054000000,1008000000,1008000000,1740000000,201000000,660000000,2306000000,None,None,None,179000000,None,1000000,None,492000000,1562000000,438000000,None,1124000000,None,1741000000,2233000000,1124000000,2009-09-16,0.3,0.3,0,0,post-market,5063000000,5009000000
2009-09-30,21.7700,22.9500,20.6500,20.8400,16.7942,761361300,0.0000,USD,52998000000,24445000000,16098000000,16098000000,0,2584000000,28553000000,1924000000,None,6886000000,6886000000,18867000000,None,None,4467000000,1296000000,None,26511000000,9160000000,260000000,None,None,1001000000,17351000000,None,13723000000,None,None,17209000000,131000000,3163000000,26143000000,0,12563000000,13319000000,5063000000,USD,3738000000,None,None,None,None,492000000,55000000,1870000000,242000000,None,-947000000,4209000000,None,None,None,None,251000000,251000000,None,None,None,None,-244000000,None,7103000000,103000000,1124000000,USD,4046000000,5054000000,1008000000,1008000000,1740000000,201000000,660000000,2306000000,None,None,None,179000000,None,1000000,None,492000000,1562000000,438000000,None,1124000000,None,1741000000,2233000000,1124000000,2009-09-16,0.3,0.3,0,0,post-market,5063000000,5009000000
2009-10-30,20.7300,22.4900,20.1000,21.1000,17.0447,818556000,0.0500,USD,52998000000,24445000000,16098000000,16098000000,0,2584000000,28553000000,1924000000,None,6886000000,6886000000,18867000000,None,None,4467000000,1296000000,None,26511000000,9160000000,260000000,None,None,1001000000,17351000000,None,13723000000,None,None,17209000000,131000000,3163000000,26143000000,0,12563000000,13319000000,5063000000,USD,3738000000,None,None,None,None,492000000,55000000,1870000000,242000000,None,-947000000,4209000000,None,None,None,None,251000000,251000000,None,None,None,None,-244000000,None,7103000000,103000000,1124000000,USD,4046000000,5054000000,1008000000,1008000000,1740000000,201000000,660000000,2306000000,None,None,None,179000000,None,1000000,None,492000000,1562000000,438000000,None,1124000000,None,1741000000,2233000000,1124000000,2009-09-16,0.3,0.3,0,0,post-market,5063000000,5009000000
2009-11-30,21.0600,22.8900,20.6500,22.0800,17.8364,466237700,0.0000,USD,53833000000,25235000000,14919000000,14919000000,0,3086000000,28598000000,1956000000,None,6584000000,6584000000,19098000000,None,None,5865000000,1365000000,None,25918000000,8534000000,255000000,None,None,1001000000,17384000000,None,13751000000,None,None,17344000000,291000000,3282000000,27531000000,0,13541000000,13529000000,5064000000,USD,651000000,None,None,None,None,498000000,45000000,-433000000,0,None,-1642000000,-366000000,None,None,None,None,250000000,250000000,None,None,None,None,-252000000,None,-1179000000,178000000,1458000000,USD,4762000000,5858000000,1096000000,1096000000,2178000000,183000000,708000000,2584000000,None,None,None,188000000,None,33000000,None,498000000,2023000000,565000000,None,1458000000,None,2211000000,2709000000,1458000000,2009-12-17,0.39,0.36,0.03,8.3333,post-market,5064000000,5010000000
2009-12-31,22.1600,25.1100,21.6200,24.5300,19.8155,599705800,0.0000,USD,53833000000,25235000000,14919000000,14919000000,0,3086000000,28598000000,1956000000,None,6584000000,6584000000,19098000000,None,None,5865000000,1365000000,None,25918000000,8534000000,255000000,None,None,1001000000,17384000000,None,13751000000,None,None,17344000000,291000000,3282000000,27531000000,0,13541000000,13529000000,5064000000,USD,651000000,None,None,None,None,498000000,45000000,-433000000,0,None,-1642000000,-366000000,None,None,None,None,250000000,250000000,None,None,None,None,-252000000,None,-1179000000,178000000,1458000000,USD,4762000000,5858000000,1096000000,1096000000,2178000000,183000000,708000000,2584000000,None,None,None,188000000,None,33000000,None,498000000,2023000000,565000000,None,1458000000,None,2211000000,2709000000,1458000000,2009-12-17,0.39,0.36,0.03,8.3333,post-market,5064000000,5010000000
2010-01-29,24.6600,25.6400,22.9800,23.0600,18.6648,604415100,0.0500,USD,53833000000,25235000000,14919000000,14919000000,0,3086000000,28598000000,1956000000,None,6584000000,6584000000,19098000000,None,None,5865000000,1365000000,None,25918000000,8534000000,255000000,None,None,1001000000,17384000000,None,13751000000,None,None,17344000000,291000000,3282000000,27531000000,0,13541000000,13529000000,5064000000,USD,651000000,None,None,None,None,498000000,45000000,-433000000,0,None,-1642000000,-366000000,None,None,None,None,250000000,250000000,None,None,None,None,-252000000,None,-1179000000,178000000,1458000000,USD,4762000000,5858000000,1096000000,1096000000,2178000000,183000000,708000000,2584000000,None,None,None,188000000,None,33000000,None,498000000,2023000000,565000000,None,1458000000,None,2211000000,2709000000,1458000000,2009-12-17,0.39,0.36,0.03,8.3333,post-market,5064000000,5010000000
2010-02-26,23.3600,24.9800,22.8300,24.6500,19.9518,575222100,0.0000,USD,53833000000,25235000000,14919000000,14919000000,0,3086000000,28598000000,1956000000,None,6584000000,6584000000,19098000000,None,None,5865000000,1365000000,None,25918000000,8534000000,255000000,None,None,1001000000,17384000000,None,13751000000,None,None,17344000000,291000000,3282000000,27531000000,0,13541000000,13529000000,5064000000,USD,651000000,None,None,None,None,498000000,45000000,-433000000,0,None,-1642000000,-366000000,None,None,None,None,250000000,250000000,None,None,None,None,-252000000,None,-1179000000,178000000,1458000000,USD,4762000000,5858000000,1096000000,1096000000,2178000000,183000000,708000000,2584000000,None,None,None,188000000,None,33000000,None,498000000,2023000000,565000000,None,1458000000,None,2211000000,2709000000,1458000000,2009-12-17,0.39,0.36,0.03,8.3333,post-market,5064000000,5010000000
2010-03-31,24.6000,26.2500,24.2800,25.7100,20.8097,656979400,0.0000,USD,59386000000,23979000000,9331000000,9331000000,315000000,3898000000,35407000000,2869000000,None,9868000000,9868000000,20415000000,None,None,8158000000,2277000000,None,30535000000,14251000000,616000000,None,None,4220000000,16284000000,None,11498000000,None,None,18993000000,751000000,4447000000,28476000000,0,14257000000,13973000000,5076000000,USD,1781000000,None,None,None,None,575000000,61000000,177000000,18000000,None,-7180000000,-8000000,None,None,None,None,252000000,252000000,None,None,None,None,-242000000,None,-5588000000,-181000000,1190000000,USD,4985000000,6404000000,1419000000,1419000000,1843000000,236000000,823000000,3142000000,None,None,None,186000000,None,-75000000,None,575000000,1582000000,393000000,None,1189000000,None,1768000000,2343000000,1189000000,2010-03-25,0.38,0.37,0.01,2.7027,post-market,5076000000,5015000000
2010-04-30,25.7800,26.6300,25.1950,25.8675,20.9772,555535000,0.0500,USD,59386000000,23979000000,9331000000,9331000000,315000000,3898000000,35407000000,2869000000,None,9868000000,9868000000,20415000000,None,None,8158000000,2277000000,None,30535000000,14251000000,616000000,None,None,4220000000,16284000000,None,11498000000,None,None,18993000000,751000000,4447000000,28476000000,0,14257000000,13973000000,5076000000,USD,1781000000,None,None,None,None,575000000,61000000,177000000,18000000,None,-7180000000,-8000000,None,None,None,None,252000000,252000000,None,None,None,None,-242000000,None,-5588000000,-181000000,1190000000,USD,4985000000,6404000000,1419000000,1419000000,1843000000,236000000,823000000,3142000000,None,None,None,186000000,None,-75000000,None,575000000,1582000000,393000000,None,1189000000,None,1768000000,2343000000,1189000000,2010-03-25,0.38,0.37,0.01,2.7027,post-market,5076000000,5015000000
2010-05-28,26.0500,26.1500,21.5500,22.5700,18.3031,736923800,0.0000,USD,59386000000,23979000000,9331000000,9331000000,315000000,3898000000,35407000000,2869000000,None,9868000000,9868000000,20415000000,None,None,8158000000,2277000000,None,30535000000,14251000000,616000000,None,None,4220000000,16284000000,None,11498000000,None,None,18993000000,751000000,4447000000,28476000000,0,14257000000,13973000000,5076000000,USD,1781000000,None,None,None,None,575000000,61000000,177000000,18000000,None,-7180000000,-8000000,None,None,None,None,252000000,252000000,None,None,None,None,-242000000,None,-5588000000,-181000000,1190000000,USD,4985000000,6404000000,1419000000,1419000000,1843000000,236000000,823000000,3142000000,None,None,None,186000000,None,-75000000,None,575000000,1582000000,393000000,None,1189000000,None,1768000000,2343000000,1189000000,2010-03-25,0.38,0.37,0.01,2.7027,post-market,5076000000,5015000000
2010-06-30,22.4200,23.6600,21.3000,21.4600,17.4029,625470800,0.0000,USD,61578000000,27004000000,9914000000,9914000000,259000000,5585000000,34574000000,2763000000,None,9321000000,9321000000,20425000000,None,None,8555000000,2691000000,None,30379000000,14691000000,775000000,None,None,3145000000,15688000000,None,11510000000,None,None,14655000000,4871000000,3754000000,30798000000,0,16146000000,14648000000,5026000000,USD,2511000000,None,None,None,None,706000000,69000000,-1976000000,55000000,None,-550000000,-1171000000,None,None,None,None,251000000,251000000,None,None,None,None,-254000000,None,583000000,-207000000,2363000000,USD,7263000000,9505000000,2242000000,2242000000,3300000000,292000000,1063000000,3963000000,None,None,None,201000000,None,-24000000,None,706000000,3075000000,712000000,None,2364000000,None,3276000000,3982000000,2363000000,2010-06-24,0.6,0.54,0.06,11.1111,post-market,5091000000,5020000000
2010-07-30,21.4600,24.6800,21.2400,23.6400,19.2118,642202900,0.0500,USD,61578000000,27004000000,9914000000,9914000000,259000000,5585000000,34574000000,2763000000,None,9321000000,9321000000,20425000000,None,None,8555000000,2691000000,None,30379000000,14691000000,775000000,None,None,3145000000,15688000000,None,11510000000,None,None,14655000000,4871000000,3754000000,30798000000,0,16146000000,14648000000,5026000000,USD,2511000000,None,None,None,None,706000000,69000000,-1976000000,55000000,None,-550000000,-1171000000,None,None,None,None,251000000,251000000,None,None,None,None,-254000000,None,583000000,-207000000,2363000000,USD,7263000000,9505000000,2242000000,2242000000,3300000000,292000000,1063000000,3963000000,None,None,None,201000000,None,-24000000,None,706000000,3075000000,712000000,None,2364000000,None,3276000000,3982000000,2363000000,2010-06-24,0.6,0.54,0.06,11.1111,post-market,5091000000,5020000000
2010-08-31,23.8700,24.5900,21.6600,21.8450,17.7530,528516600,0.0000,USD,65255000000,30264000000,12018000000,12018000000,235000000,3721000000,34991000000,2835000000,None,9124000000,9124000000,20901000000,None,None,11619000000,2671000000,None,32743000000,13800000000,706000000,None,None,2260000000,18943000000,None,14778000000,None,None,19717000000,3931000000,3816000000,32106000000,None,17027000000,14923000000,5083000000,USD,3817000000,None,None,None,None,702000000,118000000,1942000000,11000000,None,-3916000000,1960000000,None,None,None,None,251000000,251000000,None,None,None,None,-249000000,None,2104000000,243000000,1352000000,USD,5440000000,7502000000,2062000000,2062000000,1917000000,272000000,1103000000,3523000000,None,None,None,196000000,None,74000000,None,702000000,1795000000,443000000,None,1352000000,None,1991000000,2693000000,1352000000,2010-09-16,0.42,0.37,0.05,13.5135,post-market,5083000000,5026000000
2010-09-30,22.1500,27.6250,22.1000,26.8500,21.8205,1059329600,0.0000,USD,65255000000,30264000000,12018000000,12018000000,235000000,3721000000,34991000000,2835000000,None,9124000000,9124000000,20901000000,None,None,11619000000,2671000000,None,32743000000,13800000000,706000000,None,None,2260000000,18943000000,None,14778000000,None,None,19717000000,3931000000,3816000000,32106000000,None,17027000000,14923000000,5083000000,USD,3817000000,None,None,None,None,702000000,118000000,1942000000,11000000,None,-3916000000,1960000000,None,None,None,None,251000000,251000000,None,None,None,None,-249000000,None,2104000000,243000000,1352000000,USD,5440000000,7502000000,2062000000,2062000000,1917000000,272000000,1103000000,3523000000,None,None,None,196000000,None,74000000,None,702000000,1795000000,443000000,None,1352000000,None,1991000000,2693000000,1352000000,2010-09-16,0.42,0.37,0.05,13.5135,post-market,5083000000,5026000000
2010-10-29,27.1800,29.7100,26.8900,29.3800,23.9209,758714400,0.0500,USD,65255000000,30264000000,12018000000,12018000000,235000000,3721000000,34991000000,2835000000,None,9124000000,9124000000,20901000000,None,None,11619000000,2671000000,None,32743000000,13800000000,706000000,None,None,2260000000,18943000000,None,14778000000,None,None,19717000000,3931000000,3816000000,32106000000,None,17027000000,14923000000,5083000000,USD,3817000000,None,None,None,None,702000000,118000000,1942000000,11000000,None,-3916000000,1960000000,None,None,None,None,251000000,251000000,None,None,None,None,-249000000,None,2104000000,243000000,1352000000,USD,5440000000,7502000000,2062000000,2062000000,1917000000,272000000,1103000000,3523000000,None,None,None,196000000,None,74000000,None,702000000,1795000000,443000000,None,1352000000,None,1991000000,2693000000,1352000000,2010-09-16,0.42,0.37,0.05,13.5135,post-market,5083000000,5026000000
2010-11-30,29.5200,29.8200,26.8100,27.0450,22.0198,606355000,0.0000,USD,67243000000,32723000000,10420000000,10420000000,236000000,4406000000,34520000000,2870000000,None,8526000000,8526000000,20889000000,None,None,14425000000,3236000000,None,32393000000,13336000000,762000000,None,None,2255000000,19057000000,None,14780000000,None,None,17035000000,4577000000,3927000000,34412000000,0,18422000000,15663000000,5117000000,USD,944000000,None,None,None,None,709000000,121000000,-599000000,14000000,None,-2778000000,128000000,None,None,None,None,253000000,253000000,None,None,None,None,-255000000,None,-1598000000,108000000,1871000000,USD,6425000000,8582000000,2157000000,2157000000,2770000000,156000000,1119000000,3655000000,None,None,None,214000000,None,90000000,None,709000000,2646000000,776000000,None,1870000000,None,2860000000,3569000000,1870000000,2010-12-16,0.51,0.45,0.06,13.3333,post-market,5117000000,5044000000
2010-12-31,27.5400,32.2700,27.4100,31.3000,25.4842,596463200,0.0000,USD,67243000000,32723000000,10420000000,10420000000,236000000,4406000000,34520000000,2870000000,None,8526000000,8526000000,20889000000,None,None,14425000000,3236000000,None,32393000000,13336000000,762000000,None,None,2255000000,19057000000,None,14780000000,None,None,17035000000,4577000000,3927000000,34412000000,0,18422000000,15663000000,5117000000,USD,944000000,None,None,None,None,709000000,121000000,-599000000,14000000,None,-2778000000,128000000,None,None,None,None,253000000,253000000,None,None,None,None,-255000000,None,-1598000000,108000000,1871000000,USD,6425000000,8582000000,2157000000,2157000000,2770000000,156000000,1119000000,3655000000,None,None,None,214000000,None,90000000,None,709000000,2646000000,776000000,None,1870000000,None,2860000000,3569000000,1870000000,2010-12-16,0.51,0.45,0.06,13.3333,post-market,5117000000,5044000000
2011-01-31,31.5900,33.3000,30.8000,32.0300,26.1203,582169300,0.0500,USD,67243000000,32723000000,10420000000,10420000000,236000000,4406000000,34520000000,2870000000,None,8526000000,8526000000,20889000000,None,None,14425000000,3236000000,None,32393000000,13336000000,762000000,None,None,2255000000,19057000000,None,14780000000,None,None,17035000000,4577000000,3927000000,34412000000,0,18422000000,15663000000,5117000000,USD,944000000,None,None,None,None,709000000,121000000,-599000000,14000000,None,-2778000000,128000000,None,None,None,None,253000000,253000000,None,None,None,None,-255000000,None,-1598000000,108000000,1871000000,USD,6425000000,8582000000,2157000000,2157000000,2770000000,156000000,1119000000,3655000000,None,None,None,214000000,None,90000000,None,709000000,2646000000,776000000,None,1870000000,None,2860000000,3569000000,1870000000,2010-12-16,0.51,0.45,0.06,13.3333,post-market,5117000000,5044000000
2011-02-28,32.1700,33.7100,31.6400,32.9000,26.8298,400603500,0.0000,USD,67666000000,32459000000,11864000000,11864000000,276000000,4495000000,35207000000,2894000000,None,8324000000,8324000000,21425000000,None,None,12491000000,3333000000,None,30607000000,11282000000,673000000,None,None,1872000000,19325000000,None,14752000000,None,None,16624000000,2888000000,4223000000,36617000000,0,20059000000,16131000000,5149000000,USD,2676000000,None,None,None,None,701000000,133000000,34000000,-34000000,None,1032000000,-2431000000,None,None,None,None,253000000,253000000,None,None,None,None,-245000000,None,1444000000,167000000,2115000000,USD,6752000000,8764000000,2012000000,2012000000,2987000000,286000000,1127000000,3765000000,None,None,None,204000000,None,16000000,None,701000000,2799000000,683000000,None,2116000000,None,3003000000,3704000000,2116000000,2011-03-24,0.54,0.5,0.04,8,post-market,5149000000,5057000000
2011-03-31,33.0200,34.1000,29.6200,33.4325,27.2640,668810300,0.0000,USD,67666000000,32459000000,11864000000,11864000000,276000000,4495000000,35207000000,2894000000,None,8324000000,8324000000,21425000000,None,None,12491000000,3333000000,None,30607000000,11282000000,673000000,None,None,1872000000,19325000000,None,14752000000,None,None,16624000000,2888000000,4223000000,36617000000,0,20059000000,16131000000,5149000000,USD,2676000000,None,None,None,None,701000000,133000000,34000000,-34000000,None,1032000000,-2431000000,None,None,None,None,253000000,253000000,None,None,None,None,-245000000,None,1444000000,167000000,2115000000,USD,6752000000,8764000000,2012000000,2012000000,2987000000,286000000,1127000000,3765000000,None,None,None,204000000,None,16000000,None,701000000,2799000000,683000000,None,2116000000,None,3003000000,3704000000,2116000000,2011-03-24,0.54,0.5,0.04,8,post-market,5149000000,5057000000
2011-04-29,33.7000,36.0500,33.0800,35.9600,29.3772,532918200,0.0600,USD,67666000000,32459000000,11864000000,11864000000,276000000,4495000000,35207000000,2894000000,None,8324000000,8324000000,21425000000,None,None,12491000000,3333000000,None,30607000000,11282000000,673000000,None,None,1872000000,19325000000,None,14752000000,None,None,16624000000,2888000000,4223000000,36617000000,0,20059000000,16131000000,5149000000,USD,2676000000,None,None,None,None,701000000,133000000,34000000,-34000000,None,1032000000,-2431000000,None,None,None,None,253000000,253000000,None,None,None,None,-245000000,None,1444000000,167000000,2115000000,USD,6752000000,8764000000,2012000000,2012000000,2987000000,286000000,1127000000,3765000000,None,None,None,204000000,None,16000000,None,701000000,2799000000,683000000,None,2116000000,None,3003000000,3704000000,2116000000,2011-03-24,0.54,0.5,0.04,8,post-market,5149000000,5057000000
2011-05-31,35.8400,36.5000,32.9200,34.2200,27.9558,510709400,0.0000,USD,73535000000,39174000000,16163000000,16163000000,303000000,6628000000,34361000000,2857000000,None,7860000000,7860000000,21553000000,None,None,12685000000,3395000000,None,33290000000,14192000000,494000000,None,None,1150000000,19098000000,None,14772000000,None,None,15922000000,2577000000,4267000000,39776000000,0,22581000000,16653000000,5062000000,USD,3777000000,None,None,None,None,684000000,78000000,-2106000000,-19000000,None,-419000000,859000000,None,None,None,None,304000000,304000000,None,None,None,None,-411000000,None,4299000000,82000000,3209000000,USD,8606000000,10775000000,2169000000,2169000000,4359000000,256000000,1170000000,4247000000,None,None,None,195000000,None,6000000,None,684000000,4170000000,961000000,None,3209000000,None,4365000000,5049000000,3209000000,2011-06-23,0.75,0.71,0.04,5.6338,post-market,5161000000,5066000000
